category,Attribute,Value
2008,Marine Sprite,44
2008,Striking Calf,53
2008,Tank Picture,12
2008,Bucket Slope,9
2009,Marine Sprite,55
2009,Striking Calf,32
2009,Tank Picture,17
2009,Bucket Slope,7
2010,Marine Sprite,41
2010,Striking Calf,33
2010,Tank Picture,11
2010,Bucket Slope,5
2011,Marine Sprite,37
2011,Striking Calf,52
2011,Tank Picture,9
2011,Bucket Slope,8
2012,Marine Sprite,22
2012,Striking Calf,13
2012,Tank Picture,15
2012,Bucket Slope,6
2013,Marine Sprite,43
2013,Striking Calf,43
2013,Tank Picture,11
2013,Bucket Slope,9
2014,Marine Sprite,21
2014,Striking Calf,32
2014,Tank Picture,20
2014,Bucket Slope,4
